,VALOR_FATURA
57492,389.37
27492,391.14
36442,39.11
47277,62.38
31981,390.57
29538,63.47
49245,27.82
49148,247.62
29352,49.69
39062,8804.21
64931,108.57
30690,30.83
42819,3077.44
55690,31.78
12878,667.0
37351,1021.59
11237,827.42
64987,911.8
7348,4366.19
61163,40.7
30154,180.89
26825,563.14
22089,2034.66
35011,346.77
12854,24.24
12061,84.7
62284,40.97
35018,61.83
7108,989.13
21731,33.68
31918,3784.2
18351,242.25
42659,466.44
1394,28.0
6376,6038.96
49871,48.64
49457,1041.55
40126,1654.74
42280,47.38
55714,5861.84
7971,24.36
23777,6360.14
33233,72.07
47170,27.85
37375,18441.38
31955,1574.03
37019,6650.82
55423,1551.95
22466,4834.44
34906,139.88
53851,5044.47
26260,158.33
58458,89.64
38460,26.72
24630,31.76
20653,707.32
24869,263.73
36535,189.08
24762,49.09
16524,42.18
32210,60.84
29418,28.06
17568,24.26
6457,9514.98
557,39.32
36801,5511.05
18172,27.98
40842,3894.84
61731,3100.63
24923,40.84
25359,23433.73
36575,27.81
62600,1190.81
4986,24.24
11060,371.17
26143,3556.88
2783,49.17
37569,3585.35
60898,9351.81
26599,79.06
9680,55.26
28817,32.39
34168,5530.89
7486,48.69
9817,1850.39
40124,103.35
21179,195.28
27192,50.28
39087,6519.91
4555,2131.63
34957,147.97
24188,76.01
20935,289.49
5383,113.79
42244,35.77
26167,2722.09
49844,28.08
53030,331.93
20785,66.14
38657,598.99
30566,54.95
20471,27.98
28266,152.39
50645,349.61
45353,282.63
63667,219.03
51090,142.1
194,279.85
57138,27.82
22708,67.77
60248,7212.65
55979,63.44
49501,36.43
22609,459.23
14186,1730.38
23964,169.62
27708,126.08
55315,3972.3
43413,114.72
26271,525.13
11268,24.24
9754,185.22
11054,3959.28
25133,32.39
60580,1481.56
37787,9458.41
26654,7730.55
30493,831.15
23590,56.44
47951,6632.89
51912,995.21
19915,867.6
16946,3656.63
55533,2540.81
31584,18945.46
34159,3010.88
55509,8591.97
6278,123.82
50607,51.24
61828,48.51
46065,1804.15
23296,4997.06
18318,24.24
57152,444.47
16881,48.69
16198,116.28
31820,60.79
10537,1309.29
25722,69.29
5760,27.98
50130,368.43
4682,613.3
64956,14562.72
47966,32.12
60456,108.35
37129,47.35
10977,166.0
40960,627.95
23720,841.24
45473,321.45
9647,61.75
3625,42.18
5561,28.0
25344,49.02
55092,20.59
11506,321.45
50371,222.85
6800,2331.24
55656,85.88
55995,55.92
13401,24.24
40418,3784.68
21370,28.0
16884,3418.61
51532,32.12
18121,93.91
27253,12195.49
54493,55.87
54540,331.89
39525,1680.6
34094,26.94
58191,36.49
22267,98210.92
17719,387.24
64346,71.36
32345,5870.93
24907,1863.82
15044,1558.29
38859,5351.15
20299,907.81
20754,55.24
12188,1121.4
58129,32.15
669,404.84
6675,728.13
17393,9893.68
37930,19.76
61655,2504.14
32606,126947.64
3178,271.85
28645,1769.32
53324,6055.71
32359,4388.75
56391,8020.7
42273,353.82
34818,163.55
65731,618.59
43550,30.83
58842,40.82
45958,3763.18
14086,421.07
4668,42.43
11244,24.24
27119,1815.85
55147,264.25
46678,1084.39
38174,75.13
9835,487.26
36027,54.51
23190,5621.64
7667,24.26
2337,24.26
38334,97.74
22496,135.14
8416,228.95
53023,33.22
38296,30.83
32893,194.07
2903,48.71
12674,68.24
38013,609.09
5357,71.2
60484,7754.75
43442,1463.93
23363,2072.06
51082,1041.35
45786,2724.95
37954,1795.41
10431,114.02
5786,16902.68
44276,46.95
38146,4468.19
56474,573.77
400,28.02
59901,32.15
40342,1087.86
44570,24308.58
2398,1070.09
39813,30.83
2202,48.83
25682,45.44
57665,32.84
28263,32.39
59174,278.21
42011,1841.49
49169,1018.34
40610,222.95
6583,5736.92
64930,99.9
38441,53.64
33932,129.81
4581,2953.89
16450,607.0
10335,867.49
36716,245.55
25545,56.33
62971,18379.82
46518,453.2
17489,7244.75
23708,2180.12
7614,6182.43
38495,663.71
61853,32.2
57517,4245.75
10692,24.24
3581,55.24
22700,30.72
13840,10360.48
234,24.24
64577,1141.58
39435,4803.93
49536,427.22
47140,48.41
31910,5924.52
43312,427.05
7285,229.0
22319,1263.43
60026,3349.31
55575,3577.71
62651,5333.58
12704,35.55
31206,1191.19
44518,31.71
177,48.69
52377,292.53
50186,262.58
56944,62.17
21961,1345.48
28225,69.35
39887,8340.9
43387,1757.96
31602,53.67
10889,84.6
64515,48.63
32602,75.2
5386,24.24
36848,131.79
65576,32.29
65349,131.57
23669,7315.92
49450,5625.55
59422,108.1
50804,927.12
37867,120.03
17397,1269.31
20028,254.85
28845,499.65
21682,17.94
20224,27.98
4574,271.92
26650,32.39
19553,24.98
28195,202.97
49517,972.09
19525,157.29
2976,1589.94
38961,34.99
54624,143.34
38098,1574.59
12008,6210.94
33471,144.96
19992,808.47
44153,511.77
23421,2815.18
37405,6497.54
49936,6226.72
50793,85.79
32411,136.18
38781,131.67
34840,377.58
48842,202.05
53443,1470.9
36109,335.84
38751,119.99
39905,3208.6
51410,45.84
64259,126.25
17966,4481.78
57533,27.9
8007,5144.92
39253,143.42
61485,108.61
40197,27.76
58409,26754.37
20386,1973.32
25462,2071.62
33192,34.95
51092,2375.15
6306,1770.83
20252,28.0
8670,3916.03
2214,1292.42
27330,9518.44
59193,27.82
33759,690.16
3666,503.95
18334,55.28
5794,1932.13
32317,26.69
26885,3463.41
54160,6180.37
5145,24001.06
20118,48.65
57741,465.67
17089,42.18
62501,49.29
11465,185.03
27992,28.08
25031,28.06
10443,31.72
52369,651.78
56444,69.3
26588,563.68
10288,24.24
15238,68.38
48109,3621.59
57458,1247.55
36941,26.69
65157,14967.85
12539,24.4
12173,2346.06
45752,673.01
36464,103.94
15303,340.47
48041,3734.06
20285,747.48
2692,2981.21
63796,27.9
49862,151.04
63899,373.29
47545,96.95
2666,2528.44
26291,36.7
17970,28.0
7712,1792.12
53627,3742.92
29026,280.04
46115,70.89
63690,332.78
54713,50.22
63964,2138.97
27245,7779.89
55635,134.09
61052,32.15
46316,130.68
6721,7288.13
63737,6465.93
4221,149.99
1129,553.16
17580,1228.93
3243,5120.98
46524,1227.1
5081,437.57
54006,277.35
23880,120.84
63422,32.48
18191,28.0
31942,2698.31
16428,27.98
57936,2960.5
5295,215.7
29055,356.57
21215,16987.49
2376,47.18
23225,97.76
16296,787.42
2464,28.0
55746,32.15
32497,689.7
33849,30.83
34594,350.53
49283,57.75
25821,56.35
1084,68.34
33320,30.83
6007,1951.85
30802,93.16
57555,2890.02
3629,42.22
60464,1045.12
29543,2187.53
59563,812.79
26605,9355.17
11626,24.24
56485,55.98
38419,5585.73
9836,24.24
2817,1049.67
22854,26.65
45626,837.36
13103,55.26
13773,4082.4
6833,4411.21
48128,1754.44
7193,470.25
63588,48.51
59143,263.31
53639,3300.95
22652,82.15
5195,74.73
5623,54.29
1331,948.84
39200,72.03
6703,65.47
35344,35.74
4174,338.12
41305,136.36
57287,540.21
28710,4160.86
17390,3438.64
56322,1669.61
45523,49.29
5214,175.49
3721,24.24
40100,103.32
52281,2784.9
56207,48.51
35520,1479.56
22770,6674.11
8312,24.24
25293,32.39
40919,2902.66
15932,34251.72
13885,9533.92
18908,1128.87
62491,2064.09
51387,62.21
25474,32.39
27657,314.45
7413,35540.39
51451,21869.48
18418,40.13
4967,569.75
41420,46.46
63795,27.82
23046,64.76
59756,6887.09
48120,55.88
21134,1630.37
51774,3530.02
46411,9640.39
45253,373.99
29970,32.39
63722,27.82
3847,24.26
40146,78.35
13553,5924.21
13485,24.24
24747,385.54
35914,7011.69
48685,28.42
23365,143.33
45760,374.92
59236,192.41
21123,7645.75
55347,70.9
14921,666.99
8487,24.24
53351,27.86
62867,218.93
25297,10805.54
35533,1662.14
23023,249.15
47653,14042.18
42422,182.59
8205,163.27
54747,63.38
28803,75.75
31976,6211.7
16075,27.98
44043,39.94
39881,1972.77
17886,1904.02
63004,56.19
63412,108.59
15461,10712.19
5526,3984.28
36026,62.81
65338,619.53
52836,55.9
35094,3434.17
3399,42.98
4684,17.94
60223,4338.14
5670,1229.23
24948,37.15
46621,310.47
22679,775.77
52991,27.85
24636,4138.08
7224,136.91
60314,3371.01
53265,45.15
2918,554.83
43833,792.17
42953,625.7
1248,104.61
10225,746.16
2657,164.59
27272,640.3
4646,330.1
18964,2091.94
24738,98.46
50071,1594.32
8748,437.07
65179,12069.63
13572,827.39
29841,45.46
1915,2193.16
6511,149.81
13988,1350.14
41438,19.76
39184,26.7
54065,55.96
61528,105.15
2902,115.85
44683,20.36
58135,2867.23
36907,24778.01
6814,28.04
15728,255.23
63456,131.34
43662,1350.39
3310,1530.79
48863,45.0
36096,5690.17
35618,25877.84
21796,33.65
22471,34.68
60186,62.68
44349,325.85
50057,4208.28
32983,153.32
47820,45.0
36247,223.1
44852,16705.64
4062,42.41
48779,5606.15
54235,122.01
49555,42.94
5083,8567.66
7189,3577.09
7716,3888.17
48860,32.16
28960,8245.48
24005,1469.42
22812,1023.35
13484,487.59
4694,24.24
44186,3927.02
6582,24.24
39047,193.1
30707,734.37
58566,2713.66
62846,2088.95
21903,35.52
61051,32.11
57377,77.21
28311,213.99
10596,255.36
8800,24.24
63859,68.6
9749,24.24
17472,1530.25
1571,42.18
481,4953.89
25774,99.83
55638,40.82
41528,609.32
21314,4173.26
33541,43.25
22326,2174.79
13073,1950.12
36324,53.58
64649,4150.57
9345,42.2
30910,536.59
23345,601.81
33596,1308.03
57497,8970.56
16202,1030.69
39360,34.99
63125,2802.15
46418,125.66
44392,27.41
7097,42.18
57618,1226.83
17351,55.2
39174,757.34
30437,264.81
54297,5907.53
6048,354.84
8535,24.24
39851,354.05
22192,4497.08
47190,104.01
13084,55.26
23574,3698.79
20960,587.79
36614,165.26
8923,202.39
31614,536.36
25457,32.37
31580,53.59
1088,93.89
43607,2153.14
21944,65.78
37890,2063.78
29986,582.64
59694,8596.27
36061,136.31
50742,2169.9
43019,2989.34
12715,4318.03
56465,100.16
26657,562.78
16325,24.24
59705,40.82
1541,24.24
59590,7538.53
7447,189.75
33181,2900.72
62557,81.66
16481,27.98
51032,463.3
6714,24.24
32433,957.73
17611,789.1
27559,2905.68
31819,4884.4
24889,2085.2
51055,40.7
48590,1340.36
2124,24.32
58024,1761.26
29944,1002.53
60586,124.82
18978,49.08
52851,3025.59
44633,36.01
43627,2197.5
3390,1891.54
32243,8496.95
55206,570.47
18808,4980.95
58408,14027.39
25692,5052.74
34727,915.14
41527,13768.67
35121,304.29
60156,78.26
26970,2654.36
45420,139.2
1619,5029.06
10561,6865.18
162,2153.14
2952,61.75
8344,470.7
19040,39.37
60977,9407.69
63521,1603.35
36714,30.83
49089,6686.71
58706,55.72
43569,483.38
64715,32.94
62586,2055.66
42180,645.56
14879,2795.71
19390,476.41
6309,1710.37
5678,24.24
42579,6322.07
47848,4655.97
14910,1792.94
2934,242.25
13377,126.16
5527,2453.65
17953,2773.16
64026,55.9
42292,26.7
53461,55.97
50265,32.12
50651,1641.47
25316,158.35
38746,26.85
23667,6065.96
50606,425.75
39255,463.39
50016,653.44
23253,152.39
20553,42.18
31908,11276.68
33777,30.83
35814,31.41
20032,24.24
53783,32.31
52765,96.95
44,1810.24
56423,9739.43
32267,194.15
56819,248.25
26036,32.39
35549,1105.87
27671,2721.57
33774,7037.98
49971,27.83
10897,3141.13
8866,24.24
3828,24.24
60128,75.47
58489,263.1
34802,140.67
23873,563.65
3640,43.27
8727,255.34
2430,338.23
19713,35564.53
47869,63.37
17677,105.0
32885,47.38
57165,395.62
27097,410.75
13679,2475.07
63717,40.78
63744,203.72
35982,201.56
49634,56.35
1229,42.2
34074,2060.18
9028,1529.07
15929,131.45
37671,126.06
15259,93.88
33589,3806.5
30422,5896.02
48893,155.72
56018,36.44
1959,27.98
40048,194.13
30729,60.79
22878,53.77
7085,4885.07
52421,5658.19
27997,4995.41
7283,1590.04
44221,54.99
33038,27.52
45849,4872.88
40809,99.85
39076,43.18
12682,10121.18
34561,68004.09
3014,24.24
25521,1328.56
19357,3088.91
28441,17610.17
64904,62.17
26659,12478.89
39552,30.83
51986,467.2
9252,5426.66
61745,36.59
11783,24.24
63180,1870.01
63844,36.4
56063,82.86
3586,308.83
1799,156.22
64513,1231.69
60845,1760.06
62786,156.92
27769,3069.49
34755,66.74
43894,106.07
37361,237.6
26897,2697.22
16197,251.95
