ANO_VENCIMENTO,MES_VENCIMENTO,TRIMESTRE,VALOR_FATURA_lag1,VALOR_FATURA_lag2
2022,12,4,487.33,520.31
2024,8,3,70.9,70.83
2024,1,1,3166.67,3850.46
2022,6,2,2232.94,3233.59
2024,9,3,3535.97,3813.01
2024,2,1,53.63,1131.0
2024,7,3,7401.48,81.64
2022,9,3,116.64,116.69
2022,11,4,5590.91,1974.36
2022,12,4,24.76,855.53
2022,11,4,707.4,586.16
2024,12,4,97.96,48.41
2024,11,4,48.62,78.47
2024,3,1,223.14,237.55
2023,2,1,59.93,65.52
2022,12,4,24.26,28.0
2024,11,4,7916.83,4798.91
2024,7,3,262.71,262.89
2024,2,1,426.95,408.91
2023,4,2,9676.12,12271.27
2022,11,4,176.57,242.34
2023,1,1,10596.64,9181.03
2023,10,4,1533.83,1950.58
2022,6,2,24.24,24.58
2023,12,4,134.53,126.44
2023,1,1,3240.49,4292.3
2023,12,4,21491.97,22351.41
2022,10,4,31.76,31.76
2024,8,3,32.15,32.12
2023,10,4,104.99,86.67
2023,2,1,48.71,48.69
2022,6,2,68.22,68.47
2024,9,3,722.14,596.71
2023,4,2,56.35,51.84
2023,6,2,7958.47,7958.47
2022,11,4,59.81,24.24
2024,5,2,40.73,27.87
2024,7,3,150.97,107.71
2022,9,3,213.02,24.24
2024,5,2,1724.87,1775.11
2023,8,3,3564.22,4370.55
2023,3,1,91.27,68.47
2023,4,2,28.06,29.66
2024,6,2,20.59,20.59
2022,9,3,27.98,24.28
2024,12,4,1190.81,613.0
2024,1,1,30.83,30.83
2023,3,1,24.26,24.32
2023,6,2,2825.64,3311.51
2024,7,3,70.8,55.97
2024,12,4,71.14,70.95
2024,5,2,741.89,672.87
2023,11,4,1485.83,1273.43
2023,11,4,47.4,31.94
2024,4,2,27.67,30.83
2022,9,3,586.44,570.06
2023,8,3,43.25,45.44
2023,10,4,1648.46,1574.0
2023,4,2,1297.7,1168.93
2022,5,2,17.94,17.94
2023,12,4,9377.67,16780.02
2022,10,4,74.82,48.77
2024,2,1,30.83,30.83
2024,10,4,104.32,95.19
2024,12,4,9777.11,7451.34
2024,3,1,444.96,408.47
2023,4,2,7179.59,6682.36
2023,5,2,1002.92,794.89
2024,1,1,30.83,30.83
2023,8,3,150.73,98.04
2024,2,1,8370.63,15560.99
2024,10,4,1159.11,1207.62
2022,12,4,9061.07,6184.41
2022,4,2,3620.04,1956.32
2024,11,4,33.53,278.49
2023,5,2,56.35,55.26
2023,7,3,71.45,63.9
2022,12,4,849.95,2191.04
2023,10,4,153.62,150.76
2022,7,3,6865.86,2953.96
2024,8,3,32.15,32.12
2024,2,1,3119.98,2612.21
2023,1,1,1288.21,2614.34
2024,2,1,30.83,30.83
2023,6,2,2070.84,64.68
2023,5,2,3140.46,2055.15
2022,12,4,1168.82,988.36
2024,6,2,55.81,27.9
2023,7,3,3766.08,3090.78
2023,11,4,300.18,337.49
2022,8,3,71.08,59.98
2023,1,1,5096.86,6771.41
2024,4,2,60.47,3674.93
2022,8,3,354.78,747.26
2022,9,3,3562.5,5031.58
2023,3,1,1513.68,1328.82
2024,7,3,55.9,63.34
2022,12,4,288.46,470.84
2022,12,4,24.24,24.24
2024,5,2,85.82,85.81
2022,12,4,13520.73,12388.85
2023,1,1,31.76,24.24
2022,11,4,6154.0,2897.06
2022,10,4,360.03,146.98
2022,9,3,71.23,55.74
2023,11,4,26.76,66.68
2023,2,1,3677.19,2253.48
2023,12,4,53.64,53.63
2024,12,4,27115.55,24066.97
2023,3,1,65.53,86.25
2023,3,1,9151.92,3897.66
2022,6,2,242.44,767.0
2024,11,4,903.91,616.98
2023,5,2,48.96,109.26
2022,10,4,4389.6,4742.82
2023,1,1,1510.58,2112.03
